Load time for (selenium)Home screen:37.129second
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 5.441 seconds
(page)Frame navigated to: https://stage2.commusoft.net/customers/customer/6295/view_v2/property/view | Load Time: -1.734199987271E9 seconds
(page)Page loaded: https://stage2.commusoft.net/customers/customer/6295/view_v2/property/view | Load Time: 39.285 seconds
(page)Frame navigated to: https://stage2.commusoft.net/customers/customer/6295/view_v2/property/view | Load Time: 39.285 seconds
(page)Frame navigated to: https://stage2.commusoft.net/ | Load Time: 39.285 seconds
(page)Frame navigated to: https://stage2.commusoft.net/ | Load Time: 39.285 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734200086254E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 5.308 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734200093938E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.725 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.725 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: 0.725 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: 0.725 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734200322132E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 5.209 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.734200329903E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.745 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: 0.745 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: 0.745 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734200641118E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.058 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.73420065104E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.745 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.745 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: 0.745 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: 0.745 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734200918584E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 5.301 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 5.301 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.73420092979E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.867 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.867 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/list | Load Time: 0.867 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/customer_contracts/new/basic_details | Load Time: 0.867 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734201380109E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 5.844 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 5.844 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: -1.7342013951E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.808 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer/10040/view_v2/property/view | Load Time: 0.808 seconds
